dataset,uspto_50k
use_rxn_class,False
atom_message,False
use_attn,True
n_heads,8
epochs,100
mpn_size,128
depth,10
dropout_mpn,0.15
mlp_size,128
dropout_mlp,0.2
lr,0.001
weight_decay,1e-05
patience,5
factor,0.8
thresh,0.01
max_clip,10
print_every,200
num_workers,0
""
epoch,train_acc,valid_acc,valid_first_step_acc,train_loss
1,0.1012,0.1812,0.6884,2.5802
2,0.1825,0.1667,0.7464,1.7194
3,0.2314,0.1812,0.7391,1.4408
4,0.285,0.1739,0.7681,1.2501
5,0.3264,0.2391,0.8188,1.0931
6,0.3746,0.2609,0.7971,0.9712
7,0.4096,0.3768,0.8333,0.8633
8,0.4432,0.3043,0.8406,0.7873
9,0.4758,0.3768,0.8551,0.7063
10,0.4918,0.442,0.8623,0.6465
11,0.5102,0.4638,0.8841,0.5789
12,0.5251,0.5797,0.8841,0.5473
13,0.5447,0.4855,0.8333,0.4995
14,0.5584,0.4783,0.8696,0.4769
15,0.5723,0.587,0.8768,0.4366
16,0.5814,0.5507,0.8696,0.4146
17,0.6013,0.6159,0.8913,0.3906
18,0.6062,0.5797,0.8478,0.3686
19,0.6168,0.6014,0.8551,0.3593
20,0.6337,0.6159,0.8696,0.3336
21,0.6461,0.6522,0.8696,0.3106
22,0.6451,0.5797,0.8768,0.3098
23,0.6516,0.6812,0.8913,0.3059
24,0.6737,0.6594,0.8623,0.2722
25,0.6706,0.6014,0.8768,0.2777
26,0.6721,0.6304,0.8841,0.2735
27,0.6802,0.6522,0.8841,0.257
28,0.6919,0.7029,0.8696,0.2487
29,0.6896,0.6594,0.8913,0.2478
30,0.6945,0.7029,0.8623,0.2449
31,0.7001,0.6304,0.8913,0.2278
32,0.7132,0.7029,0.8768,0.2185
33,0.7006,0.6739,0.8768,0.2354
34,0.7131,0.7319,0.8841,0.2196
35,0.7157,0.7174,0.8696,0.212
36,0.7125,0.6739,0.8841,0.2172
37,0.7235,0.6739,0.8696,0.2117
38,0.7184,0.6957,0.8768,0.211
39,0.72,0.7464,0.8768,0.202
40,0.7158,0.6739,0.8623,0.2149
41,0.7363,0.7101,0.8768,0.1876
42,0.7348,0.7391,0.9058,0.192
43,0.7289,0.6884,0.8841,0.1993
44,0.7342,0.7174,0.8841,0.1844
45,0.7429,0.7174,0.8768,0.1792
46,0.761,0.7246,0.8841,0.1533
47,0.7645,0.7246,0.8623,0.1487
48,0.7613,0.7319,0.9058,0.1533
49,0.7597,0.7101,0.8986,0.1542
50,0.765,0.7319,0.8768,0.1483
51,0.7573,0.6884,0.8623,0.1514
52,0.7815,0.7174,0.8696,0.1264
53,0.7901,0.7464,0.8841,0.1193
54,0.7851,0.7319,0.8841,0.1233
55,0.7811,0.6812,0.8768,0.132
56,0.7819,0.7464,0.8986,0.1319
57,0.7847,0.7464,0.8768,0.1234
58,0.7935,0.7464,0.8913,0.1117
59,0.7975,0.7319,0.9058,0.1101
60,0.7971,0.7464,0.8913,0.1088
61,0.7982,0.7174,0.8841,0.1091
62,0.7942,0.7101,0.8623,0.1144
63,0.7974,0.7319,0.8768,0.1093
64,0.8064,0.7391,0.8841,0.0998
65,0.8043,0.7464,0.8696,0.0995
66,0.8067,0.7246,0.8696,0.0972
67,0.8064,0.7536,0.8768,0.0968
68,0.8076,0.7609,0.8768,0.1009
69,0.8039,0.7536,0.8768,0.0984
70,0.8094,0.7681,0.8986,0.0933
71,0.8078,0.7609,0.8913,0.0996
72,0.8121,0.7536,0.8913,0.0951
73,0.8126,0.7391,0.8913,0.0944
74,0.8111,0.7464,0.9058,0.0973
75,0.8129,0.7681,0.9058,0.0901
76,0.8139,0.7246,0.8768,0.0901
77,0.8157,0.7464,0.8841,0.0881
78,0.8147,0.7754,0.8986,0.0911
79,0.8174,0.7246,0.8841,0.0893
80,0.819,0.7391,0.8913,0.0877
81,0.8181,0.7681,0.8841,0.0885
82,0.8192,0.7464,0.8696,0.0871
83,0.8147,0.7464,0.8768,0.088
84,0.8147,0.7536,0.8913,0.0921
85,0.8193,0.7536,0.8913,0.0848
86,0.8218,0.7391,0.8623,0.0842
87,0.8169,0.7536,0.8768,0.0843
88,0.8213,0.7609,0.8841,0.0841
89,0.824,0.7464,0.8768,0.0838
90,0.8187,0.7319,0.8768,0.084
91,0.8255,0.7464,0.8768,0.0828
92,0.8246,0.7464,0.8623,0.0801
93,0.8263,0.7609,0.8986,0.0808
94,0.8259,0.7536,0.8768,0.0808
95,0.8242,0.7609,0.8841,0.0809
96,0.8246,0.7464,0.8768,0.0816
97,0.8278,0.7464,0.8768,0.0791
98,0.8278,0.7536,0.8841,0.0784
99,0.8275,0.7536,0.8841,0.0783
100,0.8243,0.7464,0.8623,0.0784
